Trimestre|  Lista de Chequeo
o Módulo |                                                                                         | Valoración
---------|-----------------------------------------------------------------------------------------|----------
II       |Evidencia la realización del modelo entidad relación MER                                 |CUMPLE
---------|-----------------------------------------------------------------------------------------|----------
II       |Evidencia la realización del Modelo Relacional MR                                        |CUMPLE
---------|-----------------------------------------------------------------------------------------|----------
II       |Evidencia la normalización del Modelo Relacional (MR)                                    |CUMPLE
---------|-----------------------------------------------------------------------------------------|----------
II       |En el proyecto se evidencia el diccionario de datos                                      |NO_CUMPLE
---------|-----------------------------------------------------------------------------------------|----------
II       |Evidencia uso de sentencias DDL y DML para la construcción de la base de datos del       |
         |sistema de información                                                                   |CUMPLE
---------|-----------------------------------------------------------------------------------------|----------
II       |Opcional construcción del sistema de información con bases de datos NoSQL                |NO_CUMPLE
---------|-----------------------------------------------------------------------------------------|----------
